SaleID,CustomerID,ProductID,Quantity,SaleDate,TotalAmount,SellerID
5001,1435,2093,1,2024-02-09,1389,3078
5002,2052,2051,4,2024-01-03,5752,3082
5003,1704,2024,2,2024-05-24,1070,3019
5004,2273,2092,2,2024-07-12,3190,3083
5005,2388,2012,2,2024-07-25,3582,3097
5006,2749,2011,2,2024-04-19,2852,3051
5007,2557,2027,1,2024-08-08,408,3099
5008,2496,2023,4,2024-04-23,812,3020
5009,2691,2033,4,2024-04-21,7536,3029
5010,2563,2080,3,2024-06-28,2208,3072
5011,1589,2092,1,2024-05-29,673,3089
5012,2842,2092,4,2024-01-04,4380,3081
5013,1413,2038,4,2024-05-13,3156,3065
5014,2959,2055,3,2024-06-14,4056,3038
5015,1569,2070,2,2024-01-26,136,3049
5016,2655,2042,4,2024-05-18,5164,3094
5017,2189,2029,2,2024-08-05,2610,3028
5018,1989,2034,3,2024-01-17,5661,3033
5019,2600,2057,4,2024-08-03,532,3013
5020,2072,2003,2,2024-04-01,2582,3088
5021,2686,2006,1,2024-08-14,153,3044
5022,1484,2048,2,2024-01-31,3352,3086
5023,2182,2064,2,2024-07-23,488,3052
5024,1668,2013,2,2024-06-11,2300,3077
5025,1151,2036,2,2024-05-23,2300,3076
5026,1225,2079,1,2024-07-25,1032,3041
5027,2284,2070,3,2024-04-16,5016,3049
5028,2411,2033,2,2024-05-25,2440,3007
5029,1256,2076,2,2024-04-20,1060,3036
5030,1061,2057,4,2024-04-10,812,3093
5031,2888,2055,4,2024-04-21,2704,3093
5032,2796,2013,1,2024-03-02,1887,3026
5033,2857,2097,1,2024-04-21,1805,3027
5034,1396,2051,1,2024-08-20,1774,3024
5035,2421,2092,4,2024-06-03,7744,3095
5036,2186,2053,2,2024-06-11,1592,3071
5037,1380,2036,4,2024-04-25,4816,3081
5038,2467,2005,3,2024-06-21,2847,3033
5039,1349,2025,1,2024-02-04,530,3098
5040,2993,2081,1,2024-01-28,1150,3018
5041,1031,2037,1,2024-04-12,139,3005
5042,1071,2019,3,2024-05-04,1602,3001
5043,1397,2035,2,2024-04-11,3278,3071
5044,2462,2034,2,2024-05-16,2876,3098
5045,1002,2054,2,2024-07-22,1754,3003
5046,1929,2046,1,2024-05-22,1204,3036
5047,1562,2006,2,2024-01-21,1092,3035
5048,2159,2083,4,2024-02-21,3184,3051
5049,1146,2001,1,2024-06-11,546,3012
5050,1179,2071,3,2024-08-21,5322,3015
5051,1264,2034,3,2024-04-06,5745,3004
5052,2335,2056,2,2024-02-20,1742,3056
5053,1204,2083,1,2024-03-23,1663,3097
5054,2835,2097,4,2024-02-24,1856,3016
5055,1699,2026,4,2024-08-02,768,3093
5056,2054,2042,1,2024-03-17,1095,3006
5057,1059,2091,2,2024-05-06,2440,3063
5058,2033,2038,3,2024-06-20,2388,3023
5059,1988,2026,3,2024-07-11,1803,3077
5060,2348,2099,4,2024-04-02,7672,3044
5061,1167,2059,4,2024-03-28,3596,3001
5062,2361,2084,4,2024-03-20,3796,3057
5063,1907,2024,3,2024-06-01,5802,3076
5064,2403,2021,4,2024-08-02,3156,3027
5065,1898,2060,3,2024-04-01,1698,3025
5066,1791,2090,3,2024-02-16,2847,3086
5067,2727,2020,2,2024-07-26,2394,3062
5068,1242,2006,2,2024-08-22,2738,3098
5069,2814,2067,2,2024-07-02,278,3018
5070,2981,2010,4,2024-02-07,3324,3080
5071,2690,2012,3,2024-05-18,2388,3093
5072,1908,2097,4,2024-07-13,2512,3030
5073,2184,2022,3,2024-01-15,1968,3030
5074,1777,2062,2,2024-01-01,2080,3084
5075,2259,2061,2,2024-05-14,2876,3047
5076,2477,2080,4,2024-01-01,5616,3022
5077,2882,2017,3,2024-02-18,1656,3042
5078,1199,2010,4,2024-04-05,4600,3034
5079,2501,2012,1,2024-07-19,656,3063
5080,2057,2083,4,2024-06-05,976,3004
5081,1408,2040,2,2024-01-26,1636,3031
5082,2113,2023,3,2024-03-27,3990,3051
5083,2631,2040,3,2024-06-21,4314,3050
5084,1221,2074,4,2024-08-22,4152,3014
5085,2093,2074,2,2024-04-02,2394,3008
5086,2318,2050,1,2024-04-11,1038,3069
5087,2261,2010,4,2024-08-12,812,3008
5088,2931,2094,3,2024-03-11,4056,3011
5089,2184,2004,2,2024-05-19,424,3029
5090,2856,2001,3,2024-04-04,5643,3055
5091,1840,2043,3,2024-06-08,924,3085
5092,1788,2083,3,2024-04-27,4869,3039
5093,2314,2005,3,2024-05-27,1590,3013
5094,2903,2094,1,2024-04-28,1936,3064
5095,1554,2090,2,2024-02-20,816,3049
5096,2928,2034,4,2024-03-21,2888,3019
5097,1578,2066,2,2024-02-05,384,3067
5098,1533,2024,2,2024-03-07,3768,3098
5099,1335,2014,2,2024-05-08,2064,3083
5100,2021,2041,4,2024-04-23,2364,3096
5101,2606,2042,2,2024-06-03,3548,3100
5102,2797,2013,4,2024-04-20,3272,3052
5103,2526,2029,4,2024-06-16,3156,3078
5104,1246,2065,1,2024-08-12,949,3071
5105,2347,2046,3,2024-07-30,5322,3020
